Labels,Title,State,Date,URL,Author
"SoftLayer mustfix, SuperMicro FW",Inband IPMI PNOR re-provision is not functional,open,2016-11-25,https://github.com/open-power/supermicro-openpower/issues/373,nasastry
SuperMicro FW,missing system-vpd / duplicate i2c-bus@2 entries in device tree,open,2016-11-24,https://github.com/open-power/supermicro-openpower/issues/372,stewart-ibm
"IBM-HST-GP, RHEL, Stratton",RHEL7.3LE -- HTX reports error on  Marvell's raid10,open,2016-11-23,https://github.com/open-power/supermicro-openpower/issues/371,dacng
"bug, IBM FW, SuperMicro FW, Trusted Boot","Error reported in logs when ""tpm required' is set to OFF",open,2016-11-22,https://github.com/open-power/supermicro-openpower/issues/370,prkatti1
"Briggs&Stratton GA2 SP1 mustfix, duplicate, IBM FW, IBM-HST-RAS, SuperMicro FW, Trusted Boot","RAS:SECUREBOOT: After Slave Processor repair/service , IPL fails  at   istep 6.6",open,2016-11-22,https://github.com/open-power/supermicro-openpower/issues/369,jyopatel
"IBM I/O Adapters, IBM-HST-GP",Briggs:Emulex 16GB FibreChannel:Ubuntu16.04 Installation Failed on SAN Disk.,open,2016-11-22,https://github.com/open-power/supermicro-openpower/issues/368,ahthai
"IBM FW, SuperMicro FW",HMI error recovery failed for chip TOD error injections on 2S system,open,2016-11-22,https://github.com/open-power/supermicro-openpower/issues/367,nasastry
"SuperMicro FW, verify",PNOR Code Updates not working with BMC 1.20 level,closed,2016-11-21,https://github.com/open-power/supermicro-openpower/issues/366,mzipse
"Briggs, IBM-HST-GP, Ubuntu","Ubuntu 16.04.1 -- kernel crashed with ""Oops: Kernel access of bad area, sig: 11 [#1]"" when I attempted to rebuild raid10 on AOC-S3008L-L8i",closed,2016-11-21,https://github.com/open-power/supermicro-openpower/issues/365,dacng
"IBM FW, SuperMicro FW",ISTEP 6.6: HWAS host_gard: no masterCore found,closed,2016-11-21,https://github.com/open-power/supermicro-openpower/issues/364,nasastry
"Briggs&Stratton GA2 mustfix, SuperMicro FW, verify",ISTEP 6.6: ECC error in PNOR flash in section offset 0x01E72200,closed,2016-11-21,https://github.com/open-power/supermicro-openpower/issues/363,nasastry
SuperMicro I/O Adapters,P-100 GPU's failing PCI express qualification test on NVQual,open,2016-11-19,https://github.com/open-power/supermicro-openpower/issues/362,dexterbermudez
"IBM-HST-GP, Trusted Boot, verify",Secureboot:GA2:PNOR Build date shows as  'dirty'  instead of date format after installing imp_imp transition driver,closed,2016-11-18,https://github.com/open-power/supermicro-openpower/issues/361,abkumarl
IBM FW,[LTCTest][OPAL][SMC] Hostboot failed to create gard entry after system checkstop even if gard list is empty.,open,2016-11-18,https://github.com/open-power/supermicro-openpower/issues/360,pridhiviraj
"Briggs&Stratton GA2 mustfix, IBM FW, SuperMicro FW, Trusted Boot, verify",Trusted Boot: OPAL I2C driver suspected of provoking soft lockups,open,2016-11-18,https://github.com/open-power/supermicro-openpower/issues/359,mzipse
IBM-HST-RAS,RAS: EEH inject on alpha data capi adapter incorrectly signalled as Core Checkstop HMI,open,2016-11-18,https://github.com/open-power/supermicro-openpower/issues/358,feroz11
"IBM FW, Trusted Boot",System not booting to petitboot in following scenario,closed,2016-11-18,https://github.com/open-power/supermicro-openpower/issues/357,prkatti1
"IBM FW, SuperMicro FW, Trusted Boot",Secure/Truested boot:GA2: Error reported by unknown (0xE500),open,2016-11-18,https://github.com/open-power/supermicro-openpower/issues/356,nasastry
IBM-HST-RAS,RAS: Concurrent hot swap of NVME drive not documented in Knowledge center,closed,2016-11-17,https://github.com/open-power/supermicro-openpower/issues/355,jyopatel
"SuperMicro FW, verify",SW372072 IPL: SEL cleanup: Physical Security Chassis Intru | General Chassis intrusion () | Asserted following a BMC reset on brigstrat1bmc with P8DTU-V2.00.GA2-20161115 ,open,2016-11-17,https://github.com/open-power/supermicro-openpower/issues/354,swanman
"IBM FW, IBM-HST-GP, SuperMicro FW, Trusted Boot","Secureboot:GA2:   Error reported by i2c (0x0700) ,Bus Arbitration Lost Error was found in the I2C status register  in istep 6.3 6.4 6.5 ",closed,2016-11-17,https://github.com/open-power/supermicro-openpower/issues/353,abkumarl
SuperMicro FW,Duplicate sensor id for i2c-bus@2,open,2016-11-17,https://github.com/open-power/supermicro-openpower/issues/352,nasastry
"IBM FW, SuperMicro FW","I2C: Transfer error occurred, while running op-test-framework test OpalDrivers.test_i2c_driver",closed,2016-11-17,https://github.com/open-power/supermicro-openpower/issues/351,nasastry
"Briggs&Stratton GA2 SP1 mustfix, IBM FW, IBM-HST-RAS, SuperMicro FW, Trusted Boot","RAS:SECUREBOOT: After Master Processor repair/service , IPL fails due to i2c arbitration lost in istep 8.1 doing fabric erepair (updating MVPD)",open,2016-11-17,https://github.com/open-power/supermicro-openpower/issues/350,bofferdn
"Briggs&Stratton GA2 SP1 mustfix, SuperMicro FW",Duplicate sensor id: occ_active and boot_count,open,2016-11-17,https://github.com/open-power/supermicro-openpower/issues/349,stewart-ibm
"Briggs&Stratton GA2 mustfix, IBM-HST-GP, SuperMicro FW, Trusted Boot, verify","New prod pnor uses build date ""prod""",closed,2016-11-16,https://github.com/open-power/supermicro-openpower/issues/348,wildingj
"IBM-HST-GP, SuperMicro FW, Trusted Boot, verify","Trusted boot : Supermicro:GA2:After Installing Imprint-Production transition driver , system doesn't automatically  power off",closed,2016-11-16,https://github.com/open-power/supermicro-openpower/issues/347,abkumarl
"IBM-HST-RAS, SuperMicro FW, Trusted Boot, verify","RAS: Trustedboot: System loaded with ""Hostboot Base signed with wrong keys"" posts a flood of checkstop assert SELs",closed,2016-11-16,https://github.com/open-power/supermicro-openpower/issues/346,feroz11
"IBM I/O Adapters, IBM-ISST, KVM, Mustfix ASAP, RHEL, Ubuntu",Briggs: UbuntuKVM: xfs_log_force: error -5 returned after stress test running after a day,open,2016-11-15,https://github.com/open-power/supermicro-openpower/issues/345,haochanh
"SuperMicro FW, verify",Trustedboot : Supermicro : PNOR update fails when the P8DTU.pnor image is unsigned and the BMC is in debug level,closed,2016-11-14,https://github.com/open-power/supermicro-openpower/issues/344,cclaudio
"duplicate, IBM-HST-GP",Trustedboot:Supermicro:GA2: Auto boot  to Os doesnt get cancel after entering in petitboot exit shell,open,2016-11-14,https://github.com/open-power/supermicro-openpower/issues/343,abkumarl
"question, Trusted Boot, verify",Instructions for Trusted Boot Production key drivers,open,2016-11-13,https://github.com/open-power/supermicro-openpower/issues/342,mzipse
SuperMicro FW,RHEL7.3 GUI mode has a large square cursor via iKVM console,open,2016-11-10,https://github.com/open-power/supermicro-openpower/issues/341,phong-pln
IBM-HST-RAS,RAS: Modify Product Version in the FRU inventory,closed,2016-11-08,https://github.com/open-power/supermicro-openpower/issues/340,feroz11
"IBM-HST-RAS, SuperMicro FW, verify",RAS: Inconsistency in sensor naming,closed,2016-11-08,https://github.com/open-power/supermicro-openpower/issues/339,feroz11
"IBM FW, IBM-HST-RAS, SuperMicro FW, Trusted Boot","RAS: Secured jumpers ENABLED (1-2), Removed TPM card, Hostboot eSEL doesn't callout the TPM Card for service",open,2016-11-08,https://github.com/open-power/supermicro-openpower/issues/338,feroz11
"Briggs&Stratton GA2 mustfix, IBM FW, IBM-HST-GP, SuperMicro FW, Trusted Boot, verify","Trustedboot : Supermicro:  After IPL with functional TPM  ,Security mode desserted and TPM Required mode,TPM card not showing up and I2C: Request timeout  message is being reported",closed,2016-11-08,https://github.com/open-power/supermicro-openpower/issues/337,abkumarl
"IBM FW, IBM-HST-RAS, SuperMicro FW","RAS 1104 PNOR generates ""processor correctable machine check error"" during DMI error injection",closed,2016-11-08,https://github.com/open-power/supermicro-openpower/issues/336,kyewonh
IBM-HST-GP,Ubuntu 16.04.1 vfree() nonexistent vm area during removal of failed NVMe controller,open,2016-11-08,https://github.com/open-power/supermicro-openpower/issues/335,dacng
"Mustfix ASAP, SuperMicro I/O Adapters, Ubuntu",Ubuntu 16.04 NVMe failure during probe or hotplug,open,2016-11-07,https://github.com/open-power/supermicro-openpower/issues/334,dexterbermudez
"IBM-HST-GP, RHEL",Redhat 7.3LE -- deleting raid0 still leaves the name of raid volume behind,closed,2016-11-07,https://github.com/open-power/supermicro-openpower/issues/333,dacng
"Briggs&Stratton GA2 mustfix, IBM FW, IBM-HST-GP, SuperMicro FW, verify","Petitboot message ""Info: Waiting for server"" needs to be clarified",closed,2016-11-04,https://github.com/open-power/supermicro-openpower/issues/332,wildingj
IBM-HST-GP,"Redhat 7.3 Bare Metal:   after creating second raid0, lsblk shows incorrect size for second raid0",closed,2016-11-04,https://github.com/open-power/supermicro-openpower/issues/331,dacng
IBM-HST-GP,Briggs:LSI MegaRAID& RHEL SAS Disk:Booting Hung,closed,2016-11-04,https://github.com/open-power/supermicro-openpower/issues/330,ahthai
,EEH does not seem to work with pascal GPU on rhel7.3,closed,2016-11-03,https://github.com/open-power/supermicro-openpower/issues/329,jyopatel
,[rhel7.3le] petit boot menu doesnot shows up the ethernet interfaces and blocks the OS install (Briggs5/SMC),closed,2016-11-03,https://github.com/open-power/supermicro-openpower/issues/328,Naresh-ibm
SuperMicro FW,RAS : 1028 PNOR doesn't report error with opal-prd error during DMI error injection,closed,2016-11-03,https://github.com/open-power/supermicro-openpower/issues/327,kyewonh
"Briggs&Stratton GA2 mustfix, IBM FW, SuperMicro FW, verify",Auto boot to OS when using petitboot command line ,closed,2016-11-02,https://github.com/open-power/supermicro-openpower/issues/326,dexterbermudez
"IBM-HST-GP, Ubuntu",Ubuntu 14.04.5:  apt-get install multipath-tools display error message after a successful install of the OS on SAN storage from Qlogic 8Gb FC Adapter,closed,2016-11-02,https://github.com/open-power/supermicro-openpower/issues/325,dacng
"IBM-HST-RAS, SuperMicro FW, verify",Sensor for occ does not go red after inject of occ ppc405 icache UE,closed,2016-11-02,https://github.com/open-power/supermicro-openpower/issues/324,jyopatel
"Briggs, Briggs&Stratton GA2 mustfix, IBM-ISST, SuperMicro FW, SuperMicro I/O Adapters",System fails to boot when using devices behind a USB hub,closed,2016-11-02,https://github.com/open-power/supermicro-openpower/issues/323,haochanh
IBM-HST-GP,OpenPower SuperMicro GA2  :TPM Card not  being detected at OS (kernel 4.8),closed,2016-11-02,https://github.com/open-power/supermicro-openpower/issues/322,abkumarl
"Briggs&Stratton GA2 mustfix, IBM FW, SuperMicro FW","TPM on, secured jumpers ENABLED (1-2), CPU and MEM temp are missing",closed,2016-11-01,https://github.com/open-power/supermicro-openpower/issues/321,phong-pln
"Briggs&Stratton GA2 mustfix, SuperMicro FW, verify",VGA console missing boot display from ISTEP 21 till Petitboot menu,closed,2016-11-01,https://github.com/open-power/supermicro-openpower/issues/320,phong-pln
"SuperMicro FW, verify",irq mapping failed EINVAL during boot - RHEL with PNOR 20161027 & 20161028,open,2016-10-31,https://github.com/open-power/supermicro-openpower/issues/319,dexterbermudez
"Briggs&Stratton GA2 mustfix, IBM-HST-RAS, SuperMicro FW, verify",RAS:GARD partition corrupted during code update across different PNOR layouts,closed,2016-10-31,https://github.com/open-power/supermicro-openpower/issues/318,jyopatel
"IBM-HST-GP, Ubuntu",Stratton:PNOR1028::Ubuntu installer:Could NOT Install OS on NVMe Drive,closed,2016-10-31,https://github.com/open-power/supermicro-openpower/issues/317,ahthai
"Briggs&Stratton GA2 mustfix, IBM-HST-GP, verify",20161021 pnor adds 5 and 30 seconds delays when loading petitboot menus,closed,2016-10-30,https://github.com/open-power/supermicro-openpower/issues/316,wildingj
"IBM FW, IBM-HST-GP, SuperMicro FW",Stratton:PNOR1027:Petiboot:SystemConfiguration: Fell into mon,closed,2016-10-28,https://github.com/open-power/supermicro-openpower/issues/315,ahthai
IBM I/O Adapters,[rhel7.3le] Need a Readme.txt file for QLE2562 Adapter's (FC EKAP)Firmware file (RPM) - SMC.,open,2016-10-28,https://github.com/open-power/supermicro-openpower/issues/314,Naresh-ibm
,Stratton:NVMe HBA 4-Port:Petiboot Not Recognized NVME Drives,closed,2016-10-27,https://github.com/open-power/supermicro-openpower/issues/313,ahthai
"Briggs&Stratton GA2 mustfix, SuperMicro FW, verify",TPM_Required=off is not taking into effect,closed,2016-10-27,https://github.com/open-power/supermicro-openpower/issues/312,prkatti1
verify,System does not boot to petitboot when SB Jumper=on & TPM card=on,closed,2016-10-27,https://github.com/open-power/supermicro-openpower/issues/311,prkatti1
HOT,[rhel7.3le] petit menu doesn't identify the mellanox interfaces for 10G CX4Lx_EN (ROCE),closed,2016-10-27,https://github.com/open-power/supermicro-openpower/issues/310,manvanthar
,System fails boot with SECUREBOOT::RC_SECURE_BAR_CHECK_FAIL ,closed,2016-10-26,https://github.com/open-power/supermicro-openpower/issues/309,bofferdn
,NMI watchdog: soft lock up with LSI 9300-8e on Ubuntu 16.04.1,closed,2016-10-26,https://github.com/open-power/supermicro-openpower/issues/308,dexterbermudez
verify,System does not boot to petitboot when securityboot jumper inserted,closed,2016-10-26,https://github.com/open-power/supermicro-openpower/issues/307,prkatti1
IBM-HST-GP,Briggs:RHEL7.3_RHV:GlacierPark:Build_net help Failed to Build IB network,closed,2016-10-26,https://github.com/open-power/supermicro-openpower/issues/306,ahthai
"SuperMicro FW, verify",China Mobile:  Add BMC password management features.,open,2016-10-26,https://github.com/open-power/supermicro-openpower/issues/305,bwmashak
SuperMicro FW,China Mobile:  Add feature to create bmc group via LDAP in BMC.,open,2016-10-26,https://github.com/open-power/supermicro-openpower/issues/304,bwmashak
,Briggs: Creating virtual functions for the AOC-SG-i2 adapter fails (igb driver),closed,2016-10-26,https://github.com/open-power/supermicro-openpower/issues/303,hathyaga
IBM I/O Adapters,[rhel7.3le] Probing of USB disk on the onboard USB slot failed after driver bind operation (xhci_hcd) (Stratton/Supermicro),open,2016-10-26,https://github.com/open-power/supermicro-openpower/issues/302,hathyaga
"IBM-HST-GP, SuperMicro FW, verify",BMC 1.17 - Not showing TPM sensors,closed,2016-10-26,https://github.com/open-power/supermicro-openpower/issues/301,sivassrr
,htx exerciser (afu0.0d)  fails due to missing file for rhel7.3 with capi ( alpha data card),closed,2016-10-25,https://github.com/open-power/supermicro-openpower/issues/300,jyopatel
"SuperMicro FW, verify",China Mobile:  BMC to alert when unplug hot-plug disk connected to 3108 controller,open,2016-10-25,https://github.com/open-power/supermicro-openpower/issues/299,bwmashak
"SuperMicro FW, verify",China Mobile:  Additional BMC logs requested,open,2016-10-25,https://github.com/open-power/supermicro-openpower/issues/298,bwmashak
SuperMicro FW,China Mobile:  Add feature to remote mount a local folder on PC to host.,open,2016-10-25,https://github.com/open-power/supermicro-openpower/issues/297,bwmashak
RHEL,[rhel7.3le] Firmware Version not reflecting after Flashing and rebooting the server in supermicro for QLE2562 (EKAP) in RHEL7.3LE,closed,2016-10-25,https://github.com/open-power/supermicro-openpower/issues/296,Naresh-ibm
,[rhel7.3le] Getting a Conflict message while trying to Flash the Firmware for QLE2562 (FC EKAP) on Supermicro with RHEL7.3LE.,closed,2016-10-25,https://github.com/open-power/supermicro-openpower/issues/295,Naresh-ibm
"IBM-HST-GB, SuperMicro FW",Briggs dcmi power reading doesn't reset or clear from 1654W.,closed,2016-10-24,https://github.com/open-power/supermicro-openpower/issues/294,dannylt67
"IBM-HST-GB, SuperMicro FW",Briggs dcmi power reading is exceeding 1654W with two GPUs,closed,2016-10-24,https://github.com/open-power/supermicro-openpower/issues/293,dannylt67
"IBM-HST-GP, Mustfix ASAP, RHEL, Ubuntu","Ubuntu 16.04.1 Bare metal -- HTX reported ""Hung I/O alert!  Detected 16 I/O(s) hung.""",open,2016-10-24,https://github.com/open-power/supermicro-openpower/issues/292,dacng
,"[rhel7.3le] LSI-9300: Unable to show slot number, in which card is inserted.",closed,2016-10-21,https://github.com/open-power/supermicro-openpower/issues/291,vrbagalkote
"IBM-HST-GP, KVM, Ubuntu",Ubuntu 14.04.5 KVM guest -- HTX reports network miscompare after 11 hours of running hxecom,closed,2016-10-18,https://github.com/open-power/supermicro-openpower/issues/290,dacng
"IBM-HST-GP, SuperMicro FW",Petiboot menu does not show boot device of type NVME after a successful install of Redhat 7.3LE,closed,2016-10-18,https://github.com/open-power/supermicro-openpower/issues/289,dacng
SuperMicro I/O Adapters,Unable to use the security features of the LSI 9361 adapter.,closed,2016-10-18,https://github.com/open-power/supermicro-openpower/issues/288,CraigWalz-IBM
"IBM-HST-GP, RHEL",Briggs:RHEL7.3:IPL HUNG,closed,2016-10-18,https://github.com/open-power/supermicro-openpower/issues/287,ahthai
"IBM-HST-GP, SuperMicro I/O Adapters",Stratton:Ubuntu16.04:Pascal:Cuda driver Not Worked,closed,2016-10-14,https://github.com/open-power/supermicro-openpower/issues/286,ahthai
"IBM-HST-RAS, SuperMicro FW, verify",RAS:OCC Active Device Disabled Asserted SELs logged during power off trigger Incorrect Service Action per PD Guide,closed,2016-10-14,https://github.com/open-power/supermicro-openpower/issues/285,feroz11
"IBM-HST-GP, KVM, RHEL",Briggs:RHEL7.3/RHV4.0:Passthrough:QLogic PCIe3 x8 Quad Port 10Gb SFP+:GuestIP Lost,closed,2016-10-12,https://github.com/open-power/supermicro-openpower/issues/284,ahthai
"Briggs&Stratton GA2 mustfix, SuperMicro FW, Trusted Boot",Trusted Boot / Securemode changes needed beyond OPBuild master v1.12 for SMC initial delivery,closed,2016-10-12,https://github.com/open-power/supermicro-openpower/issues/283,mzipse
"IBM-HST-GP, KVM, RHEL",Briggs:RHEL7.3/RHV4.0:Intelx710DualPort:build_net Help Changed guest Network Set-up,closed,2016-10-11,https://github.com/open-power/supermicro-openpower/issues/282,ahthai
SuperMicro I/O Adapters,"[rhel7.3le] preboot cli version showing junk values:  01.07-05:#%0000, when we execute storcli /c0 show all command",closed,2016-10-10,https://github.com/open-power/supermicro-openpower/issues/281,vrbagalkote
"SuperMicro I/O Adapters, verify",[rhel7.3le] LSI-9361(8i): Unable to show copyback progress(Supermicro),closed,2016-10-10,https://github.com/open-power/supermicro-openpower/issues/280,vrbagalkote
"SuperMicro FW, verify",petitboot menu unable to list NVMe attached disks after installation,open,2016-10-07,https://github.com/open-power/supermicro-openpower/issues/279,CraigWalz-IBM
IBM-HST-GP,BM 1.14 hpm files seen as newer than BMC 1.15 with ipmitool hpm upgrade command,closed,2016-10-07,https://github.com/open-power/supermicro-openpower/issues/278,wildingj
IBM-HST-GP,BMC hpm file version markers interfere with ipmitool hpm upgrade level checking ,closed,2016-10-07,https://github.com/open-power/supermicro-openpower/issues/277,wildingj
"IBM-HST-GP, SuperMicro FW, SuperMicro I/O Adapters, verify","""i40e 0002:01:00.1: Initial pf_reset failed: -15""  is shown when machine is powered on ",closed,2016-10-07,https://github.com/open-power/supermicro-openpower/issues/276,dacng
"SuperMicro I/O Adapters, verify",[rhel7.3le] LSI-9361(8i): Unable to start RAID0 vd init(Supermicro),closed,2016-10-07,https://github.com/open-power/supermicro-openpower/issues/275,vrbagalkote
"IBM-HST-GP, KVM, Ubuntu","ubuntu 16.04.1 kvm guest -- htx shows ""ERROR"" with network miscompare",closed,2016-10-06,https://github.com/open-power/supermicro-openpower/issues/274,dacng
"IBM-HST-RAS, SuperMicro FW, verify",RAS: IPL with ciritical hardware gard leads to infinite reboot causing a flood of SELs,closed,2016-10-06,https://github.com/open-power/supermicro-openpower/issues/273,feroz11
IBM-HST-RAS,RAS: OEM c0 SEL event decode table in KC incorrect,closed,2016-10-05,https://github.com/open-power/supermicro-openpower/issues/272,feroz11
"Briggs, IBM I/O Adapters, IBM-ISST, KVM, Mustfix ASAP, RHEL",Briggs: RHV: Host crashes at nvme_queue_rq+0x1dc/0xb60,open,2016-10-05,https://github.com/open-power/supermicro-openpower/issues/271,haochanh
"Briggs&Stratton GA2 mustfix, SuperMicro FW, verify",PCI hotplug support,closed,2016-10-04,https://github.com/open-power/supermicro-openpower/issues/270,kcli
"IBM-HST-RAS, SuperMicro FW",RAS: NO slot callout for raid controller on slot UIO slot 1 and WIO slot 1,closed,2016-10-03,https://github.com/open-power/supermicro-openpower/issues/269,jyopatel
,RAS: NO slot callout or any logs seen for inject on RAID controller,closed,2016-09-30,https://github.com/open-power/supermicro-openpower/issues/268,jyopatel
SuperMicro I/O Adapters,[rhel7.3le: mvcli ] Raid rebuild fails on Marvell,closed,2016-09-30,https://github.com/open-power/supermicro-openpower/issues/267,manvanthar
SuperMicro I/O Adapters,[rhel7.3le: mvcli ] cannot create hypper capacity and hypper safe RAID modes on Marvell,closed,2016-09-30,https://github.com/open-power/supermicro-openpower/issues/266,manvanthar
,[rhel7.3le: mvcli ] locate of PD dosn't work on Marvel,closed,2016-09-30,https://github.com/open-power/supermicro-openpower/issues/265,manvanthar
SuperMicro I/O Adapters,[rhel7.3le: mvcli ]  VD initialization fails on Marvel,closed,2016-09-30,https://github.com/open-power/supermicro-openpower/issues/264,manvanthar
SuperMicro I/O Adapters,[rhel7.3le: mvcli ] Consistency Check fails for Marvel VDs,closed,2016-09-30,https://github.com/open-power/supermicro-openpower/issues/263,manvanthar
,"[rhel7.3le: mvcli ]  Driver version is not getting updated, its displayed as 0",closed,2016-09-30,https://github.com/open-power/supermicro-openpower/issues/262,manvanthar
,[rhel7.3le: mvcli ] The Valid size of the pd drive is shown as 0 after vd creation,closed,2016-09-30,https://github.com/open-power/supermicro-openpower/issues/261,manvanthar
SuperMicro I/O Adapters,"[rhel7.3le: mvcli ] Trying to set virtualatapienable fails & throws error in syslog, after few minutes devices attached to it are not accessible",closed,2016-09-30,https://github.com/open-power/supermicro-openpower/issues/260,manvanthar
"IBM-HST-GP, RHEL, verify","Redhat 7.3LE - Hard bootme -- OS keeps looping in ""rcu_sched detected stalls on CPUs""  and ""Exception: 901 at snooze_loop+0x124/0x1a0"" after 23 hours",closed,2016-09-29,https://github.com/open-power/supermicro-openpower/issues/259,dacng
"Briggs, IBM-ISST, KVM, RHEL",Briggs: pcilib: sysfs_read_vpd: read failed: Input/output error on AOC-S3008L-L8i,closed,2016-09-28,https://github.com/open-power/supermicro-openpower/issues/258,haochanh
"IBM FW, IBM-HST-RAS, SuperMicro FW","RAS : 12.3 & 12.4,  specific DMI lanes missed predictive error log  in eSEL of 2'nd error injection ",open,2016-09-26,https://github.com/open-power/supermicro-openpower/issues/257,kyewonh
IBM-HST-GP,Briggs:RHEL7.3:Supermicro DOM Drive: Miscompare while mdt.hdbuster running,closed,2016-09-23,https://github.com/open-power/supermicro-openpower/issues/256,ahthai
,RAS : the undefined error occurs  while  trying to  enter cronus mode or injecting error,open,2016-09-22,https://github.com/open-power/supermicro-openpower/issues/255,kyewonh
"Briggs&Stratton GA2 mustfix, IBM I/O Adapters, IBM-ISST, RHEL, SuperMicro FW","Petitboot menu does not show the AOC-MCX456A-ECAT-IB001 interface, missing the network device driver ",closed,2016-09-22,https://github.com/open-power/supermicro-openpower/issues/254,haochanh
IBM-HST-GP,Briggs:RHEL7.3:Failed Net Install via VNC,closed,2016-09-21,https://github.com/open-power/supermicro-openpower/issues/253,ahthai
"HOT, IBM-HST-GP",Product Name field for IBM LC systems not set correctly,closed,2016-09-16,https://github.com/open-power/supermicro-openpower/issues/252,wildingj
"Briggs&Stratton GA2 mustfix, SuperMicro FW, verify",RAS: New bad bit found during training adv (IPL) can cause unnecessary DIMM callout or IPL stuck looping at 13.10 with no DIMM callout,closed,2016-09-15,https://github.com/open-power/supermicro-openpower/issues/251,mgollub
"IBM-HST-GP, SuperMicro FW",System serial port not displaying all boot information,closed,2016-09-15,https://github.com/open-power/supermicro-openpower/issues/250,wildingj
"Briggs&Stratton SP1 mustfix, IBM FW, SuperMicro FW, verify",908PNOR (SP1 ) is showing  unexpected error message during the IPL  ,closed,2016-09-15,https://github.com/open-power/supermicro-openpower/issues/249,kyewonh
